profile,source_url,original,raw_normalized,research_area_normalized,matched_candidate_terms,matched_sources,matched_cuis,has_umls_match,final_output,final_output_simplified,final_output_simplified_cleaned,research_tag_publishable
Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,environmental factors in historical events,environmental factors in historical events,Environmental and Social Factors Domain | Environmental and Social Factors Supplemental Qualifiers Dataset | Accident due to environmental factor,environmental factors,MTH | SNOMEDCT_US,C5400108 | C4554000 | C0417580,yes,Environmental and Social Factors Domain | Environmental and Social Factors Supplemental Qualifiers Dataset | Accident due to environmental factor,Environmental and Social Factors Domain,Environmental And Social Factors,Environmental And Social Factors
Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,journal of neurology,journal of neurology,Journal | Journal Article | Journal Impact Factor | Introductory Journal Article,,MTH | MSH,C0162443 | C0282420 | C2350574 | C1956026,yes,Journal | Journal Article | Journal Impact Factor | Introductory Journal Article,journal of neurology,Journal Of Neurology,Journal Of Neurology
Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,canadian journal of psychiatry,canadian journal of psychiatry,Canadian bluegrass pollen extract | Journal | Journal Article | Journal Impact Factor | Introductory Journal Article,,MTH | MSH,C2940183 | C0162443 | C0282420 | C2350574 | C1956026,yes,Canadian bluegrass pollen extract | Journal | Journal Article | Journal Impact Factor | Introductory Journal Article,canadian journal of psychiatry,Canadian Journal Of Psychiatry,Canadian Journal Of Psychiatry
Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,neuroimaging,neuroimaging,Neuroimaging | Functional Neuroimaging,neuroimaging,MTH | MSH,C0679575 | C3178877,yes,Neuroimaging | Functional Neuroimaging,Neuroimaging,Neuroimaging,Neuroimaging
Gabriela Gilmour,https://profiles.ucalgary.ca/gabriela-gilmour,movement disorders,movement disorders,"Movement Disorders | Extrapyramidal and movement disorders | Stereotypic Movement Disorder | Movement Disorders, Rhythmic Nocturnal",movement disorders,MTH | MSH,C0026650 | C0477355 | C0038273 | C0752298,yes,"Movement Disorders | Extrapyramidal and movement disorders | Stereotypic Movement Disorder | Movement Disorders, Rhythmic Nocturnal",Movement Disorders,Movement Disorders,Movement Disorders
Gabrielle Wilcox,https://profiles.ucalgary.ca/gabrielle-wilcox,mental health,mental health,mental health | Mental health treatment,mental health,MTH | SNOMEDCT_US,C0025353 | C0184647,yes,mental health | Mental health treatment,mental health,Mental Health,Mental Health
Gabrielle Wilcox,https://profiles.ucalgary.ca/gabrielle-wilcox,disruptive disorders of childhood,disruptive disorders of childhood,"Disruptive, Impulse Control, and Conduct Disorders | Feeding and Eating Disorders of Childhood | Childhood onset fluency disorder | Disruptive Behavior Disorder | Attention Deficit and Disruptive Behavior Disorders | Childhood Communication Disorders | Childhood Tic Disorders | Child Behavior Disorders",disruptive disorders | disorders childhood,MTH | MSH,C0021122 | C0525042 | C2921028 | C0012734 | C0236964 | C0751048 | C0751553 | C0008066,yes,"Disruptive, Impulse Control, and Conduct Disorders | Feeding and Eating Disorders of Childhood | Childhood onset fluency disorder | Disruptive Behavior Disorder | Attention Deficit and Disruptive Behavior Disorders | Childhood Communication Disorders | Childhood Tic Disorders | Child Behavior Disorders",Feeding and Eating Disorders of Childhood,Disorders Of Childhood,Disorders Of Childhood
Gabrielle Wilcox,https://profiles.ucalgary.ca/gabrielle-wilcox,transition-age youth,transition-age youth,,age youth,,,no,transition-age youth,transition-age youth,Transition Age Youth,
Gabrielle Wilcox,https://profiles.ucalgary.ca/gabrielle-wilcox,school psychologists intellectual disabilities transition-age youth,school psychologists intellectual disabilities transition-age youth,Intellectual Disability | Profound intellectual disabilities | Mild intellectual disability | Severe intellectual disability | Moderate intellectual disability,,MTH | SNOMEDCT_US,C3714756 | C3161330 | C0026106 | C0036857 | C0026351,yes,Intellectual Disability | Profound intellectual disabilities | Mild intellectual disability | Severe intellectual disability | Moderate intellectual disability,Profound intellectual disabilities,Intellectual Disabilities,Intellectual Disabilities
Gabrielle Wilcox,https://profiles.ucalgary.ca/gabrielle-wilcox,attention deficit disorder,attention deficit disorder,Attention Deficit Disorder | Attention deficit hyperactivity disorder | Child attention deficit disorder,attention deficit disorder | attention deficit | deficit disorder,MTH,C0041671 | C1263846 | C0004269,yes,Attention Deficit Disorder | Attention deficit hyperactivity disorder | Child attention deficit disorder,Attention Deficit Disorder,Attention Deficit Disorder,Attention Deficit Disorder
Gabrielle Wilcox,https://profiles.ucalgary.ca/gabrielle-wilcox,mental health services,mental health services,mental health | Health Services Accessibility | Mental health treatment,mental health services | mental health | health services,MTH | SNOMEDCT_US,C0025353 | C0018748 | C0184647,yes,mental health | Health Services Accessibility | Mental health treatment,mental health,Mental Health,Mental Health
Gabrielle Wilcox,https://profiles.ucalgary.ca/gabrielle-wilcox,youth mental health,youth mental health,mental health | Mental health treatment,mental health,MTH | SNOMEDCT_US,C0025353 | C0184647,yes,mental health | Mental health treatment,mental health,Mental Health,Mental Health
Gabrielle Wilcox,https://profiles.ucalgary.ca/gabrielle-wilcox,depression,depression,"Mental Depression | Depressive disorder | Reactive depression | Depression, Postpartum",depression,MTH | MSH,C0011570 | C0011581 | C0011579 | C0221074,yes,"Mental Depression | Depressive disorder | Reactive depression | Depression, Postpartum",Mental Depression,Mental Depression,Mental Depression
Gabrielle Wilcox,https://profiles.ucalgary.ca/gabrielle-wilcox,neuroimaging,neuroimaging,Neuroimaging | Functional Neuroimaging,neuroimaging,MTH | MSH,C0679575 | C3178877,yes,Neuroimaging | Functional Neuroimaging,Neuroimaging,Neuroimaging,Neuroimaging
Gabrielle Wilcox,https://profiles.ucalgary.ca/gabrielle-wilcox,clinical reasoning,clinical reasoning,Clinical Reasoning,clinical reasoning,MSH,C5392149,yes,Clinical Reasoning,Clinical Reasoning,Clinical Reasoning,Clinical Reasoning
Gail Diane Kopp,https://profiles.ucalgary.ca/gail-diane-kopp,robotic neurosurgery,robotic neurosurgery,Robotic Surgical Procedures | Robotic radiotherapy,,MSH | SNOMEDCT_US,C3850136 | C5922801,yes,Robotic Surgical Procedures | Robotic radiotherapy,robotic neurosurgery,Robotic Neurosurgery,Robotic Neurosurgery
Garnette Roy Sutherland,https://profiles.ucalgary.ca/garnette-roy-sutherland,brain tumours,brain tumours,Brain Neoplasms | Ependymoma of brain | Neoplasm of brain suspected | Astrocytoma of brain,brain tumours,MTH | SNOMEDCT_US,C0006118 | C0238029 | C1277610 | C3695127,yes,Brain Neoplasms | Ependymoma of brain | Neoplasm of brain suspected | Astrocytoma of brain,brain tumours,Brain Tumours,Brain Tumours
Garnette Roy Sutherland,https://profiles.ucalgary.ca/garnette-roy-sutherland,cerebrovascular disease,cerebrovascular disease,Diffuse cerebrovascular disease | Asymptomatic cerebrovascular disease | Cerebrovascular Disorders,cerebrovascular disease,SNOMEDCT_US | MTH,C0553766 | C0393970 | C0007820,yes,Diffuse cerebrovascular disease | Asymptomatic cerebrovascular disease | Cerebrovascular Disorders,Diffuse cerebrovascular disease,Cerebrovascular Disease,Cerebrovascular Disease
Garnette Roy Sutherland,https://profiles.ucalgary.ca/garnette-roy-sutherland,robotic neurosurgery,robotic neurosurgery,Robotic Surgical Procedures | Robotic radiotherapy,,MSH | SNOMEDCT_US,C3850136 | C5922801,yes,Robotic Surgical Procedures | Robotic radiotherapy,robotic neurosurgery,Robotic Neurosurgery,Robotic Neurosurgery
Garnette Roy Sutherland,https://profiles.ucalgary.ca/garnette-roy-sutherland,brain tumours skull base robotics-technology cerebrovascular disease,brain tumours skull base robotics-technology cerebrovascular disease,Brain Diseases,,MTH,C0006111,yes,Brain Diseases,Brain Diseases,Brain Diseases,Brain Diseases
Gary Michael Klein,https://profiles.ucalgary.ca/gary-michael-klein,stroke,stroke,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,stroke,MTH | MSH,C0018843 | C0948008 | C5234922 | C0262469,yes,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,Heat Stroke,Stroke,Stroke
G. Bruce Pike,https://profiles.ucalgary.ca/g-bruce-pike,dementia,dementia,"Dementia | Presenile dementia | Senile dementia | Multi-infarct dementia | Dementia, Vascular",dementia,MTH | MSH,C0497327 | C0011265 | C0011268 | C0011263 | C0011269,yes,"Dementia | Presenile dementia | Senile dementia | Multi-infarct dementia | Dementia, Vascular",Dementia,Dementia,Dementia
G. Bruce Pike,https://profiles.ucalgary.ca/g-bruce-pike,cognitive disorders,cognitive disorders,Cognition Disorders | Postoperative Cognitive Disorders | Impaired cognition | Memory Disorders,cognitive disorders,MTH | MSH,C0009241 | C5691260 | C0338656 | C0025261,yes,Cognition Disorders | Postoperative Cognitive Disorders | Impaired cognition | Memory Disorders,Postoperative Cognitive Disorders,Cognitive Disorders,Cognitive Disorders
G. Bruce Pike,https://profiles.ucalgary.ca/g-bruce-pike,epilepsy,epilepsy,"Epilepsy | Absence Epilepsy | Tonic-Clonic Epilepsy | Epilepsy, Complex Partial",epilepsy,MTH | MSH,C0014544 | C0014553 | C0014549 | C0085417,yes,"Epilepsy | Absence Epilepsy | Tonic-Clonic Epilepsy | Epilepsy, Complex Partial",Epilepsy,Epilepsy,Epilepsy
G. Bruce Pike,https://profiles.ucalgary.ca/g-bruce-pike,mental health,mental health,mental health | Mental health treatment,mental health,MTH | SNOMEDCT_US,C0025353 | C0184647,yes,mental health | Mental health treatment,mental health,Mental Health,Mental Health
G. Bruce Pike,https://profiles.ucalgary.ca/g-bruce-pike,movement disorders,movement disorders,"Movement Disorders | Extrapyramidal and movement disorders | Stereotypic Movement Disorder | Movement Disorders, Rhythmic Nocturnal",movement disorders,MTH | MSH,C0026650 | C0477355 | C0038273 | C0752298,yes,"Movement Disorders | Extrapyramidal and movement disorders | Stereotypic Movement Disorder | Movement Disorders, Rhythmic Nocturnal",Movement Disorders,Movement Disorders,Movement Disorders
G. Bruce Pike,https://profiles.ucalgary.ca/g-bruce-pike,multiple sclerosis,multiple sclerosis,"Multiple Sclerosis | Multiple Sclerosis, Chronic Progressive | Malignant multiple sclerosis | Benign multiple sclerosis",multiple sclerosis,MTH | MSH | SNOMEDCT_US,C0026769 | C0393665 | C2586221 | C2585570,yes,"Multiple Sclerosis | Multiple Sclerosis, Chronic Progressive | Malignant multiple sclerosis | Benign multiple sclerosis",Multiple Sclerosis,Multiple Sclerosis,Multiple Sclerosis
G. Bruce Pike,https://profiles.ucalgary.ca/g-bruce-pike,magnetic resonance imaging,magnetic resonance imaging,Magnetic Resonance Imaging | Multiparametric Magnetic Resonance Imaging | Diffusion Magnetic Resonance Imaging,magnetic resonance imaging | magnetic resonance | resonance imaging,MTH,C0024485 | C3898221 | C1136216,yes,Magnetic Resonance Imaging | Multiparametric Magnetic Resonance Imaging | Diffusion Magnetic Resonance Imaging,Magnetic Resonance Imaging,Magnetic Resonance Imaging,Magnetic Resonance Imaging
G. Bruce Pike,https://profiles.ucalgary.ca/g-bruce-pike,quantitative mri techniques for measuring tissue microstructure,quantitative mri techniques for measuring tissue microstructure,,,,,no,quantitative mri techniques for measuring tissue microstructure,quantitative mri techniques for measuring tissue microstructure,Quantitative Mri Techniques For Measuring Tissue Microstructure,
G. Bruce Pike,https://profiles.ucalgary.ca/g-bruce-pike,member of the hotchkiss brain institute,member of the hotchkiss brain institute,Brain Concussion | Brain Injuries | Brain Neoplasms | Brain Diseases | Annotated member,,MTH | SNOMEDCT_US,C0006107 | C0270611 | C0006118 | C0006111 | C5880928,yes,Brain Concussion | Brain Injuries | Brain Neoplasms | Brain Diseases | Annotated member,member of the hotchkiss brain institute,Member Of The Hotchkiss Brain Institute,
G. Bruce Pike,https://profiles.ucalgary.ca/g-bruce-pike,functional magnetic resonance imaging,functional magnetic resonance imaging,Blood Oxygen Level Dependent Functional Magnetic Resonance Imaging | Magnetic Resonance Imaging | Multiparametric Magnetic Resonance Imaging | Diffusion Magnetic Resonance Imaging | MRI of brain with functional imaging,functional magnetic resonance imaging | functional magnetic resonance | magnetic resonance imaging | functional magnetic,MTH | SNOMEDCT_US,C1705491 | C0024485 | C3898221 | C1136216 | C0412677,yes,Blood Oxygen Level Dependent Functional Magnetic Resonance Imaging | Magnetic Resonance Imaging | Multiparametric Magnetic Resonance Imaging | Diffusion Magnetic Resonance Imaging | MRI of brain with functional imaging,Magnetic Resonance Imaging,Magnetic Resonance Imaging,Magnetic Resonance Imaging
Geoffrey Messier,https://profiles.ucalgary.ca/geoffrey-messier,machine learning,machine learning,Machine Learning | Supervised Machine Learning | Unsupervised Machine Learning | Reinforcement Machine Learning | Representation Machine Learning,machine learning,MSH,C0376284 | C4042903 | C4042902 | C5940531 | C5940532,yes,Machine Learning | Supervised Machine Learning | Unsupervised Machine Learning | Reinforcement Machine Learning | Representation Machine Learning,Machine Learning,Machine Learning,Machine Learning
Geoffrey Messier,https://profiles.ucalgary.ca/geoffrey-messier,"data science for mental health, addiction and homelessness",data science for mental health addiction and homelessness,Mental health addiction programs,mental health addiction,SNOMEDCT_US,C1300132,yes,Mental health addiction programs,Mental health addiction programs,Mental Health Addiction,Mental Health Addiction
